pair_id,pred_score,true_label
P24100:Q9LSP5,0.3040500581264496,1
A0A1P8B013:Q1EC57,0.002375951735302806,0
Q9FM85:Q9LR35,0.0034903082996606827,0
O81797:A0A1P8B194,0.014551504515111446,0
Q9CA71:F4JJC8,0.0018049090867862105,0
O22927:F4HZI8,0.0012726718559861183,0
Q9LHF1:Q9CA86,0.001238335156813264,0
P26289:O82628,0.26555272936820984,0
Q8VWI1:Q9SF32,0.0036610718816518784,0
Q94AZ5:Q84VX1,0.0032047834247350693,0
O22870:O24456,0.12239785492420197,1
Q9FXK1:O22798,0.00824813637882471,0
Q8VZC0:Q9C6T1,0.017165018245577812,0
A8MR37:B3H4S9,0.0006137893651612103,0
Q8LF99:F4JEB4,0.001403388800099492,0
Q9C788:Q84Y18,0.0010340310400351882,0
Q9LVZ8:Q9ZUZ6,0.001772576943039894,0
Q9SKA3:Q9ZWA1,0.0011512446217238903,0
A0A1I9LR11:A0A1P8AP46,0.0007932932930998504,0
Q9FHE1:Q9SBA7,0.0054428414441645145,0
A0A1P8ASM4:F4KHY8,0.03306187316775322,0
Q0WQ41:Q9M0F5,0.009043064899742603,0
Q8L7M1:C0LGP3,0.00402463972568512,0
B9DGD6:O49301,0.018780380487442017,0
Q9C9I7:Q9SB68,0.0031515490263700485,0
Q94JT5:Q680H3,0.003167077200487256,0
Q946Y7:Q9SA23,0.9961841702461243,1
A0A1R7T3E3:P25858,0.142512246966362,0
Q9FY99:Q3ECH7,0.0008439919911324978,0
P55852:Q42406,0.6686161756515503,1
O22962:Q9M9X2,0.003124574664980173,0
Q3E8Z9:Q9M8L2,0.0032237234991043806,0
Q9C560:Q9ZUE2,0.002310978015884757,0
B6IDH2:P42759,0.0031398709397763014,0
Q9SAD0:Q8GT75,0.001162139349617064,0
F4IJB6:Q9LFX9,0.000857279752381146,0
O49513:Q8GTR9,0.005350774619728327,0
Q5XVG3:C0LGX3,0.001302653574384749,0
F4JYK6:Q9FH21,0.0008706534281373024,0
Q9LVU2:Q8VXZ0,0.0007137345382943749,0
Q9LRK8:Q9LP44,0.006102863233536482,0
A0A1P8B4M2:Q9SJI7,0.0008631011587567627,0
Q9C6W4:Q9ZNU8,0.0011703955242410302,0
Q9M1B9:Q84L09,0.0203558336943388,0
Q9LQE3:Q9LD39,0.0028186412528157234,0
F4KAA4:Q9SJ54,0.0009897341951727867,0
Q8GYY7:A8MQL3,0.0007426476804539561,0
Q8SAB7:Q9SBJ6,0.40181270241737366,1
Q9FLW9:Q9LZE5,0.023326508700847626,0
O65554:O23653,0.018386611714959145,0
Q93VB2:A8MSE0,0.005539363250136375,0
A0MDQ1:O04660,0.002078278223052621,0
Q9LS60:Q94C48,0.0015214389422908425,0
Q9ZW29:Q5XF36,0.0035833970177918673,0
Q9SF86:Q8LFZ9,0.01408755499869585,0
Q94A78:F4JIP6,0.008338185958564281,0
O49373:Q9SJT4,0.0010879572946578264,0
O24457:Q9SU91,0.43909430503845215,0
Q9LXP2:Q84WV8,0.00169452466070652,0
Q8VZN5:Q8GYH6,0.0015578055754303932,0
Q9ZQ85:Q9FHF5,0.0038353854324668646,0
Q9LJB7:Q9FX73,0.0007149235461838543,0
Q9LUP2:A0SVK0,0.005859914235770702,0
Q9C9V8:A0A1P8AY90,0.005022367928177118,0
Q1PFC5:O81776,0.0009611399727873504,0
Q8L7A5:Q42139,0.12518587708473206,0
F4IF81:Q9FEF9,0.001832551322877407,0
F4JAD2:A8MR80,0.0010864182841032743,0
F4JYC8:Q9ZRZ8,0.02975716069340706,0
O48626:Q9SJL2,0.006980020087212324,0
Q9ZV80:Q8GWB0,0.001555460738018155,0
Q6DSS2:Q8GYA5,0.001465708832256496,0
Q9FIG0:Q93ZX7,0.001507170731201768,0
Q9LXI4:F4HW79,0.001427437993697822,0
O23413:Q9FH06,0.0016753276577219367,0
A0A1P8AWP1:F4JMH6,0.006578363012522459,0
Q9SK66:O81055,0.009008007124066353,0
F4JH25:O64872,0.010649856179952621,0
Q9XFB0:Q1PEU9,0.0035462842788547277,0
C0SVM5:Q39057,0.07233249396085739,1
Q6NPP4:Q9SB58,0.0009427196346223354,0
Q500Z1:Q9SYF3,0.00124066520947963,0
Q94AZ7:B0F9L7,0.053759194910526276,0
B3H7G8:Q9FKW8,0.0013214147184044123,0
F4KED4:Q8RXM6,0.005750957410782576,0
Q9FLK2:Q9T0G6,0.012459875084459782,0
Q9LT24:Q681Y3,0.0023864468093961477,0
P41917:Q147N7,0.0051707192324101925,0
Q0WPN8:F4ISU2,0.001608988270163536,0
O80845:F4J8D3,0.06333713978528976,0
Q9LPM2:Q9FNB3,0.3160274624824524,0
Q93VQ9:Q94AR4,0.0016402549808844924,0
F4JHJ3:Q9SN78,0.00141096708830446,0
Q0WQJ1:Q9MAP0,0.0014115491649135947,0
Q6NLT8:Q8GX81,0.001506547094322741,0
Q9FHF5:Q41963,0.0009435940883122385,0
Q8S8F9:Q9T072,0.0031069284304976463,0
Q94CA5:Q9C920,0.0006513064145110548,0
Q9SCP4:P29386,0.012589014135301113,0
Q9SHW4:A8MRC8,0.0009998938767239451,0
F4ICK8:B3H6H1,0.0035054676700383425,0
Q9FGY9:Q39086,0.001363959163427353,0
Q9FE68:F4K0D3,0.002499018795788288,0
Q9FLB5:F4JFC6,0.001315156347118318,0
P58046:Q9M350,0.007863745093345642,0
Q9SHV1:A0A1P8ATM6,0.001355313346721232,0
A0A1P8AM88:Q940G6,0.005701237358152866,0
F4IS56:Q8VYD2,0.007265131454914808,0
Q9FJR4:Q9LTS9,0.0009290054440498352,0
Q9FG28:Q9LMP7,0.001020071911625564,0
Q67YA7:A8MRC8,0.0010910090059041977,0
Q9LXX2:Q9C6U6,0.0011994711821898818,0
Q9LHL2:Q9LK61,0.07649099081754684,0
Q9CAN3:Q9FHN8,0.0012394179357215762,0
A8MR88:P0DKJ8,0.0006686722044833004,0
Q39256:Q8GW53,0.00202128360979259,0
Q9M647:Q9SK69,0.0029357646126300097,0
Q93VH9:Q9SZD4,0.3391641080379486,1
Q9SJE8:A0A1P8AXV5,0.00156615418381989,0
Q9LT86:A0A1P8BA18,0.0008468765881843865,0
Q9FHN3:Q9C5M1,0.0005877531366422772,0
Q8H1S4:Q9AUE0,0.08093837648630142,0
O81415:Q94KB2,0.0015443298034369946,0
A0A178V4E1:F4INN8,0.0008343681693077087,0
Q9C9W3:Q9LJ51,0.002041405299678445,0
O80860:Q8GUK6,0.12414028495550156,0
Q8GUG6:Q9ZQF9,0.03129161149263382,0
Q9SMM9:F4HPA7,0.004964541178196669,0
P59220:Q8RWQ8,0.03646666556596756,1
Q08682:A7RED7,0.0011637427378445864,0
A8MQN4:Q9LTQ5,0.0032585354056209326,0
Q8L6Z2:A0A178UQH2,0.0010568589204922318,0
